target,model_type,mae,rmse,r2_score
carbon_intensity,local_europe,55.91383589248377,64.42873318308372,0.25880157301521556
carbon_intensity,local_india,76.98637874678217,88.66203584324155,0.2575871777678148
carbon_intensity,local_usa,70.11554933165634,80.75009654029479,0.2548543031073939
carbon_intensity,global_federated,76.4633316810783,90.89021327393657,0.20834207238768798
temperature,local_europe,0.3144680708469161,0.42394688453471013,0.9978199558117137
temperature,local_india,0.31026108724224166,0.4171829702191177,0.9978889644639721
temperature,local_usa,0.3150587699948093,0.4164578465662839,0.9978962966494489
temperature,global_federated,0.1934260805528852,0.2784174180071234,0.999059780111754
